Customer_ID,Age,Gender,Annual_Income,Spending_Score,Membership_Status,Last_Purchase_Amount,Total_Purchases,Preferred_Category,Days_Since_Last_Purchase,City,Subscription_Type,Customer_Satisfaction,Fraudulent_Activity,Referral_Score,Customer_Review
CUST_0001,56,Male,128351.0,53,Gold,127.76,6,Sports,307,Miami,Yearly,1.0,0,6,Great service!
CUST_0002,69,Female,115081.0,78,Silver,,125,Fashion,28,Houston,Yearly,2.0,0,4,
CUST_0003,46,Female,142721.0,91,Gold,1540.15,58,Fashion,143,London,Yearly,,0,6,Excellent quality!
CUST_0004,32,Female,130058.0,82,Silver,1988.22,70,Electronics,75,New York,Yearly,4.0,0,8,Loved the experience!
CUST_0005,60,Female,88056.0,92,Silver,32.05,53,Electronics,144,London,Yearly,2.0,0,3,Loved the experience!
CUST_0006,25,Male,23081.0,51,Gold,1463.05,66,Grocery,228,London,Yearly,1.0,0,4,Will not recommend.
CUST_0007,38,Female,54196.0,47,Bronze,1147.86,58,Grocery,63,London,Monthly,1.0,0,8,Loved the experience!
CUST_0008,56,Female,56735.0,4,Gold,873.76,82,Grocery,346,New York,None,2.0,0,9,Could be better.
CUST_0009,36,Male,124749.0,7,Gold,263.86,87,Grocery,344,Los Angeles,Yearly,4.0,0,10,Excellent quality!
CUST_0010,40,Female,100102.0,35,Gold,824.08,2,Sports,268,Berlin,None,1.0,0,3,Great service!
CUST_0011,28,Male,99578.0,48,Silver,715.21,37,Sports,327,Berlin,Yearly,2.0,0,4,Excellent quality!
CUST_0012,28,Male,45498.0,73,Gold,,148,Electronics,183,New York,Yearly,2.0,0,4,Great service!
CUST_0013,41,Female,96865.0,72,Silver,1464.45,103,Fashion,260,Berlin,Yearly,2.0,0,7,Will not recommend.
CUST_0014,70,Female,51656.0,45,Gold,1404.44,24,Fashion,267,Chicago,Yearly,4.0,0,3,Great service!
CUST_0015,53,Male,87695.0,81,Bronze,1182.15,112,Home & Living,168,Berlin,Yearly,1.0,0,3,Great service!
CUST_0016,57,Female,57900.0,81,Bronze,1877.94,65,Sports,258,Miami,Yearly,4.0,0,6,
CUST_0017,41,Male,148392.0,97,Bronze,706.21,129,Grocery,226,New York,Yearly,3.0,0,10,Loved the experience!
CUST_0018,20,Male,137235.0,96,Silver,495.17,117,Grocery,32,Berlin,Monthly,1.0,0,4,Great service!
CUST_0019,39,Male,,72,Silver,1315.25,116,Home & Living,213,New York,Yearly,4.0,0,5,
CUST_0020,70,Male,,19,Gold,405.64,105,Fashion,49,Los Angeles,Monthly,1.0,0,5,Excellent quality!
CUST_0021,19,Male,128777.0,63,Silver,636.87,3,Grocery,209,Chicago,Monthly,3.0,0,5,Excellent quality!
CUST_0022,41,Female,39033.0,38,Silver,456.96,46,Fashion,28,New York,None,5.0,0,9,
CUST_0023,61,Female,143193.0,67,Bronze,147.62,55,Home & Living,38,Miami,Yearly,2.0,0,4,Will not recommend.
CUST_0024,47,Male,30805.0,59,Silver,1656.72,75,Fashion,346,Berlin,Yearly,4.0,0,4,Excellent quality!
CUST_0025,55,Female,55851.0,69,Silver,516.54,45,Fashion,99,Miami,Yearly,3.0,0,8,Excellent quality!
CUST_0026,19,Female,46832.0,13,Bronze,951.32,77,Fashion,172,Berlin,None,3.0,0,7,Excellent quality!
CUST_0027,38,Male,,47,Bronze,96.2,24,Grocery,16,New York,Yearly,1.0,0,3,Excellent quality!
CUST_0028,50,Female,135725.0,61,Bronze,1401.69,35,Electronics,55,London,None,1.0,0,6,Loved the experience!
CUST_0029,29,Other,33944.0,31,Bronze,667.82,24,Sports,225,Berlin,Yearly,2.0,0,7,Excellent quality!
CUST_0030,39,Male,39873.0,80,Silver,1492.03,28,Fashion,45,London,None,1.0,0,8,Will not recommend.
CUST_0031,61,Male,60372.0,96,Bronze,830.68,16,Fashion,66,Chicago,None,4.0,0,4,Loved the experience!
CUST_0032,42,Female,109464.0,22,Gold,399.55,59,Fashion,196,Miami,None,4.0,0,2,Great service!
CUST_0033,66,Female,35379.0,93,Gold,,144,Electronics,141,London,Monthly,4.0,0,3,
CUST_0034,44,Male,137322.0,86,Silver,269.7,15,Home & Living,322,Miami,Monthly,5.0,0,9,Will not recommend.
CUST_0035,59,Female,56751.0,43,Platinum,886.67,11,Grocery,22,Berlin,Monthly,4.0,0,5,Could be better.
CUST_0036,45,Female,120082.0,67,Silver,641.44,79,Electronics,93,Berlin,Monthly,1.0,0,9,Loved the experience!
CUST_0037,33,Female,109822.0,54,Silver,1824.8,115,Fashion,241,Chicago,None,1.0,0,10,
